name,website,description,logo,country,country_code,advertising,data,e_commerce,media,network_communications,publishing,smart_cities,web_of_things,filename_prefix,about_link,llm_sector
Fraunhofer Gesellschaft,https://www.fraunhofer.de/en.html,"Fraunhofer-Gesellschaft is the largest organization for applied research in Europe. We transform original ideas into innovations that benefit society and strengthen both the German and the European economy. The Web is a key driver of our innovation process, and therefore we are committed to support W3C‘s work to lead the Web to its full potential.",https://www.w3.org/thumbnails/120/logos/organizations/1117.png?x-version=3,Germany,DE,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,www-fraunhofer-de,https://www.fraunhofer.de/en/about-fraunhofer.html,Nonprofit organization
German Research Center for Artificial Intelligence (DFKI) Gmbh,https://www.dfki.de,DFKI is one of the largest nonprofit contract research institutes worldwide in the field of innovative software technology based on Artificial Intelligence methods. DFKI is committed to the use of W3C standards in research and development.,https://www.w3.org/thumbnails/120/logos/organizations/26550.png?x-version=3,Germany,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-dfki-de,,Nonprofit organization
HiveMQ,https://www.hivemq.com/,,,Germany,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,www-hivemq-com,https://www.hivemq.com/company/,Small/medium enterprise
Hochschulbibliothekszentrum des Landes NRW,http://www.hbz-nrw.de,The North Rhine-Westphalian Library Service Centre (hbz) is a central service and development institution for university libraries in the German state of North Rhine-Westphalia.  We are committed to establishing an open data infrastructure for libraries and actively participate in the development of open source software and open standards.,https://www.w3.org/thumbnails/120/logos/organizations/45217.png?x-version=3,Germany,DE,,,,,,,,,www-hbz-nrw-de,,Nonprofit organization
IDnow GmbH,http://www.idnow.io,,,Germany,DE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,www-idnow-io,https://www.idnow.io/about-us/,Small/medium enterprise
SAP SE,http://www.sap.com,,,Germany,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-sap-com,,Large enterprise
Siemens AG,https://www.siemens.com,,,Germany,DE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,www-siemens-com,https://www.siemens.com/global/en/company/about/compliance/reporting-channels.html,Large enterprise
SPRIND GmbH,https://www.sprind.org/en/,"The German Federal Agency for Disruptive Innovation SPRIND is creating spaces for innovators, where they can take risks and think radically different.",https://www.w3.org/thumbnails/120/logos/organizations/156410.png?x-version=1,Germany,DE,,,,,,,,,www-sprind-org,https://www.sprind.org/en/#about-us,Nonprofit organization
The German Association for the Digital Economy (BVDW),http://www.bvdw.org,The German Association for the Digital Economy (BVDW) is the advocacy group for companies that operate digital business models or whose value creation is based on the use of digital technologies.,https://www.w3.org/thumbnails/120/logos/organizations/125161.png?x-version=1,Germany,DE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,www-bvdw-org,,Nonprofit organization
Thinktecture,https://thinktecture.com,,,Germany,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,thinktecture-com,,Small/Medium Enterprise
Viacom inc.,http://www.paramount.tech,,https://www.w3.org/thumbnails/120/logos/organizations/57941.png?x-version=2,Germany,DE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,www-paramount-tech,,Large enterprise
|pipe|,https://pi.pe,,,Germany,DE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,pi-pe,https://pi.pe/about/,Technical community
CRITAC,https://critacghana.com/,"CRITAC is committed to advancing global web standards that promote accessibility, security, and innovation. Our goal is to contribute to the development of open technologies. We fully support W3C's mission and strive to implement its recommendations in our cutting-edge solutions, ensuring a more inclusive and connected digital World.",https://www.w3.org/thumbnails/120/logos/organizations/102975.png?x-version=1,Ghana,GH,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,critacghana-com,,Nonprofit organization
Foundation for Research and Technology - Hellas (FORTH),https://www.ics.forth.gr/,"ICS-FORTH has an established tradition of internationally acknowledged 
excellence in conducting basic and applied research in the fields of information 
and telecommunications technologies. It represents Greece in ERCIM, and also 
hosts the W3C Greece Chapter.",,Greece,GR,,,,,,,,,www-ics-forth-gr,https://www.ics.forth.gr/about-ics,Academia
"Digital Policy Office, The Government of the Hong Kong Special Administrative Region of the People's Republic of China",https://www.digitalpolicy.gov.hk,,,Hong Kong SAR China,HK,,,,,,,,,www-digitalpolicy-gov-hk,,Government
Hong Kong Blind Union,http://www.hkbu.org.hk,,,Hong Kong SAR China,HK,,,,,,,,,www-hkbu-org-hk,http://www.hkbu.org.hk/tc/about/latest-news/index,Nonprofit organization
SZTAKI,http://www.sztaki.hu,,,Hungary,HU,,,,,,,,,www-sztaki-hu,,Academia
BarrierBreak Technologies,http://www.barrierbreak.com,"Accessibility is key to create an inclusive society. It is imperative to meet this goal and W3C is helping us meet this goal in India and globally. At BarrierBreak, we are committed to digital accessibility and the role that W3C is plays in implementing this at a global level.",https://www.w3.org/thumbnails/120/logos/organizations/50944.png?x-version=4,India,IN,,,,,,,,,www-barrierbreak-com,http://www.barrierbreak.com/accessibility-barrierbreak,Small/Medium Enterprise
Whatfix,https://whatfix.com/,,,India,IN,,,,,,,,,whatfix-com,https://whatfix.com/about-us/,Large enterprise
INSIGHT - The Centre for Data Analytics,http://www.insight-centre.org,,,Ireland,IE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,www-insight-centre-org,https://www.insight-centre.org/about-us/,Academia
Vidos,http://www.vidos.id,"At Vidos, we're committed to accelerating adoption of trusted digital identity through standards. Our W3C membership lets us collaborate on core DID and VC standards. By implementing these in our services, we make it easier for organizations to use credentials in real-world use cases for workforce, financial services, government and travel.",https://www.w3.org/thumbnails/120/logos/organizations/158193.png?x-version=1,Ireland,IE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-vidos-id,http://www.vidos.id/about),Technical community
Vision Ireland,http://vi.ie,,https://www.w3.org/thumbnails/120/logos/organizations/158226.png?x-version=1,Ireland,IE,,,,,,,,,vi-ie,,Small/Medium Enterprise
accessiBe,https://accessibe.com/,"accessiBe is the market leader in web accessibility, providing an ecosystem of solutions for any business. Trusted by over 200,000 websites, ranging from small businesses to industry leaders, accessiBe streamlines the process of making websites more accessible in accordance with the Web Content Accessibility Guidelines (WCAG).",https://www.w3.org/thumbnails/120/logos/organizations/130274.png?x-version=4,Israel,IL,,,,,,,,,accessibe-com,https://accessibe.com/company,Nonprofit organization
Wix.com Ltd.,https://www.wix.com/,,,Israel,IL,,,,,,,,,www-wix-com,https://www.wix.com/about/us,Large enterprise
Agenzia per l'Italia Digitale,https://www.agid.gov.it/,,https://www.w3.org/thumbnails/120/logos/organizations/70816.png?x-version=1,Italy,IT,,,,,,,,,www-agid-gov-it,,Government
Electe,https://www.electe.net,"At Electe, our mission is to democratize access to artificial intelligence, empowering businesses of all sizes to make informed, data-driven decisions. As a W3C Member, we are committed to supporting the development of open web standards that promote accessibility and innovation.",https://www.w3.org/thumbnails/120/logos/organizations/166162.png?x-version=2,Italy,IT,,,,,,,,,www-electe-net,,Small/medium enterprise
Fondazione LIA,https://www.fondazionelia.org,"Fondazione LIA is a no-profit organization fostering the creation of an accessible digital publishing ecosystem through research, training and consultancy activities. LIA is active in the W3C Publishing Business Group, EPUB 3 Working Group, Publishing Community Group",https://www.w3.org/thumbnails/120/logos/organizations/98318.png?x-version=3,Italy,IT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,www-fondazionelia-org,,Nonprofit organization
University of Milano Bicocca,https://en.unimib.it/,,,Italy,IT,,,,,,,,,en-unimib-it,,Academia
"ACCESS CO., LTD.",http://www.access-company.com/,,,Japan,JP,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,www-access-company-com,,Large enterprise
"Alfasado, Inc.",http://alfasado.net/,,https://www.w3.org/thumbnails/120/logos/organizations/77717.png?x-version=7,Japan,JP,,,,,,,,,alfasado-net,http://alfasado.net/about/index.html,Small/Medium Enterprise
Design Inc.,http://www.design-inc.jp/,,,Japan,JP,,,,,,,,,www-design-inc-jp,,Small/Medium Enterprise
Digital Publishers Federation of Japan,http://ebpaj.jp,,,Japan,JP,,,,,,,,,ebpaj-jp,http://ebpaj.jp/aboutassociation,Nonprofit organization
FLUX Inc.,https://flux-g.com/,"Established in 2018, FLUX Inc. is the leading marketing & advertising technology provider in Japan, with over 500+ publishers, newspapers, and magazines on board. At W3C, we want to explore the possibilities of the WEB and define how people will interact with websites in the future, especially in areas like web advertising and browser APIs.",https://www.w3.org/thumbnails/120/logos/organizations/125989.png?x-version=4,Japan,JP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,flux-g-com,https://flux-g.com/about/,Large enterprise
Fujitsu Limited,http://www.fujitsu.com,"Fujitsu is a leading provider of IT-based business solutions for the global marketplace. Fujitsu is actively promoting standardization of XML, electronic businesses, Web Services, and Cloud computing related technologies. It supports many W3C specifications in its products and services.",,Japan,JP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,www-fujitsu-com,https://www.fujitsu.com/global/about/,Large enterprise
Future Technology Laboratories Inc.,http://www.ftl.co.jp,,,Japan,JP,,,,,,,,,www-ftl-co-jp,,Small/Medium Enterprise
"Hitachi, Ltd.",https://www.hitachi.com/,"Hitachi has long experience in both OT(operational technology) and IT. Towards the IoT era, this is something to be proud of. Hitachi understands the importance of standardization to make the world seamlessly connected, and strongly supports W3C's activities.",https://www.w3.org/thumbnails/120/logos/organizations/1142.png?x-version=4,Japan,JP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,www-hitachi-com,https://www.hitachi.com/en/about/,Large enterprise
Internet Academy,https://www.internetacademy.jp,"Internet Academy has provided practical and intensive Web development courses based on solid fundamentals since 1995. As a leading school of Web technologies, Internet Academy supports W3C, especially developer relations activities, and spreads the Web around the world.",,Japan,JP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,www-internetacademy-jp,,Academia
"Internet Research Institute, Inc.",http://www.iri.co.jp/,,,Japan,JP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,www-iri-co-jp,,Large enterprise
"Japan Registry Services Co., Ltd.",http://jprs.co.jp/,,,Japan,JP,,,,,,,,,jprs-co-jp,http://jprs.co.jp/aboutwebsite.html,Large enterprise
"JCB CO., LTD.",http://www.global.jcb/en/,,,Japan,JP,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,www-global-jcb,http://www.global.jcb/en/about-us/,Large enterprise
Kadokawa Corporation,https://www.kadokawa.co.jp/,"KADOKAWA group has expanded its business, revamping business categories with the changing times, since foundation.

We create a variety of Intellectual Property (IP), including books, movies, animations etc., and sell them worldwide, to develop our own global media mix strategy.",https://www.w3.org/thumbnails/120/logos/organizations/104534.png?x-version=3,Japan,JP,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,www-kadokawa-co-jp,,Large enterprise
KDDI CORPORATION,http://www.kddi.com/,,,Japan,JP,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,www-kddi-com,,Large enterprise
Keio University,https://www.keio.ac.jp/,,,Japan,JP,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,www-keio-ac-jp,https://www.keio.ac.jp/en/about/,Academia
"Kodansha, Publishers, Ltd.",https://www.kodansha.co.jp/,"We, Kodansha, are one of the biggest publishing company in Japan. Our goal is find, incubate and distribute talented people and their various content to all over the world.",https://www.w3.org/thumbnails/120/logos/organizations/96831.png?x-version=3,Japan,JP,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,www-kodansha-co-jp,https://www.kodansha.co.jp/company/about#message,Large enterprise
LY Corporation,https://www.lycorp.co.jp/,,,Japan,JP,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,www-lycorp-co-jp,https://www.lycorp.co.jp/en/company/overview/,Large enterprise
