id,name,description,shortname,spec-publisher,type,call,homepage,users,participations,chairs,start-date,end-date
7756,Advisory Board,"The <a href=""https://www.w3.org/Consortium/Process/#AB"">Advisory Board</a> provides ongoing guidance to the Team on issues of strategy, management, legal matters, process, and conflict resolution.",ab,,permanent group,https://api.w3.org/groups/other/ab,https://www.w3.org/Member/Board/,https://api.w3.org/groups/other/ab/users,,https://api.w3.org/groups/other/ab/chairs,,
33280,Advisory Committee,"The Advisory Committee represents the <a href=""/Consortium/Member/List"">Members of the W3C</a> at large, which name one individual per Member responsible for managing the organization's rights and responsibilities set out in the W3C Process. This includes reviewing plans for W3C work, electing the Advisory Board and the Technical Architecture Group participants, as well as a portion of the W3C Board of Directors. AC Representatives nominate an unlimited amount of work group participants on behalf of their organizations. Lastly, AC Reps represent their organization in implementing the W3C Patent Policy.",ac,,permanent group,https://api.w3.org/groups/other/ac,https://www.w3.org/groups/other/ac/,,,https://api.w3.org/groups/other/ac/chairs,,
108226,AI KR (Artificial Intelligence Knowledge Representation) Community Group,"<ul>
<li><a rel=""nofollow"" href=""https://www.w3.org/community/aikr/welcome/"">Welcome post</a></li>
<li><a rel=""nofollow"" href=""https://www.w3.org/community/aikr/wiki"">Group's wiki</a></li>
<li>See also the group's pages from the right-hand side menu</li>
</ul>

<p>The overall goal/mission of this community group is to explore the requirements, best practices and implementation options for the conceptualization and specification of domain knowledge in AI.</p>
<p>We plan to place particular emphasis on the identification and the representation of AI facets and various aspects (technology, legislation, ethics etc) with the purpose to facilitate knowledge exchange and reuse.</p>
<p>Therefore the proposed outcomes could be instrumental to research and advancement of science and inquiry, as well as to increase the level of public awareness in general to enable learning and participation.</p>
<p><strong>Proposed outcomes:</strong></p>
<ul>
<li>A comprehensive <a rel=""nofollow"" href=""https://www.w3.org/community/aikr/welcome/ai-kr-task-list/knowledge-sources-for-ai-kr/"">list of open access resources</a> in both AI and KR (useful to teaching and research)</li>
<li>A set of <a rel=""nofollow"" href=""https://www.w3.org/community/aikr/welcome/ai-kr-task-list/metadata/"">metadata</a> derived from these resources</li>
<li>A <a rel=""nofollow"" href=""https://www.w3.org/community/aikr/concept-maps/"">concept map</a> of the domain</li>
<li>A natural language vocabulary to represent various aspects of AI</li>
<li>One or more encoding/implementations/ machine language version of the vocabulary, such as ChatBot Natural Language Understanding &amp; Natural Language Generation</li>
<li>Methods for KR management, especially Natural Language Learning / Semantic Memory</li>
</ul>
<p><strong>WHO SHOULD JOIN:</strong> researchers and practitioners with an interest in developing AI KR artifacts (ontology, machine learning, markup languages)</p>

<p><a rel=""nofollow"" href=""https://tinyurl.com/yb6h72w8"">Editable doc</a>.</p>

",aikr,True,community group,https://api.w3.org/groups/cg/aikr,https://www.w3.org/community/aikr/,https://api.w3.org/groups/cg/aikr/users,https://api.w3.org/groups/cg/aikr/participations,https://api.w3.org/groups/cg/aikr/chairs,,
134685,Anti-Fraud Community Group,"The mission of the Anti Fraud Community Group is to identify and define scenarios involving fraud and unwanted traffic, as well as to incubate and develop web features and APIs to address those scenarios while improving user security, privacy, and accessibility. Fraud and unwanted traffic can include web activity perpetrated by botnets, attackers impersonating users, and other activity that intends to harm users or compromise web services. 

The group welcomes participation from anti-fraud service providers, common targets of unwanted traffic, browser vendors, web privacy advocates, web application developers, web hosting and cloud service providers, and other interested parties.

The Community Group will discuss issues that server operators and anti-fraud service providers face in this area and ideas for new web features and APIs intended to be implemented in browsers or similar user agents.",antifraud,True,community group,https://api.w3.org/groups/cg/antifraud,https://www.w3.org/community/antifraud/,https://api.w3.org/groups/cg/antifraud/users,https://api.w3.org/groups/cg/antifraud/participations,https://api.w3.org/groups/cg/antifraud/chairs,,
111355,ARIA and Assistive Technologies Community Group,"How WAI-ARIA is supported by assistive technologies, such as screen readers,  is highly variable. This variation in WAI-ARIA rendering adds unnecessary complexity to the development of high-quality web experiences for users of assistive technologies and places significant limitations on the types of web widgets that can be made widely accessible.

This community group is dedicated to:

1.  helping assistive technology developers converge on a set of clear norms for baseline support of WAI-ARIA.
2. Helping web developers understand the current state of support for WAI-ARIA by assistive technologies.

WAI-ARIA is as important to assistive technology presentation as CSS is to visual presentation. Join us to help make WAI-ARIA as reliable as CSS.

This group will not publish Specifications.",aria-at,False,community group,https://api.w3.org/groups/cg/aria-at,https://www.w3.org/community/aria-at/,https://api.w3.org/groups/cg/aria-at/users,https://api.w3.org/groups/cg/aria-at/participations,https://api.w3.org/groups/cg/aria-at/chairs,,
110716,Audio Community Group,A group to gather and incubate new features and requirements for the Web Audio API.  Making it easier for the community to engage with the Audio Working Group.,audio-comgp,True,community group,https://api.w3.org/groups/cg/audio-comgp,https://www.w3.org/community/audio-comgp/,https://api.w3.org/groups/cg/audio-comgp/users,https://api.w3.org/groups/cg/audio-comgp/participations,https://api.w3.org/groups/cg/audio-comgp/chairs,,
106721,Audio Description Community Group,"Mission: To create an open standard file format to support audio description all the way from scripting to mixing.

Scope: To agree requirements and propose a workable open standard file format for audio description, probably a profile of TTML2, with the intention of moving to the Rec track within a Working Group.

Deliverables:

<ul>
<li>Requirements document</li>
<li>Draft specification document</li>
<li>Explainer</li>
</ul>",audio-description,True,community group,https://api.w3.org/groups/cg/audio-description,https://www.w3.org/community/audio-description/,https://api.w3.org/groups/cg/audio-description/users,https://api.w3.org/groups/cg/audio-description/participations,https://api.w3.org/groups/cg/audio-description/chairs,,
46884,Audio Working Group,The mission of the Audio Working Group is to add advanced sound and music synthesis capabilities to the Open Web Platform.,audio,,working group,https://api.w3.org/groups/wg/audio,https://www.w3.org/groups/wg/audio/,https://api.w3.org/groups/wg/audio/users,https://api.w3.org/groups/wg/audio/participations,https://api.w3.org/groups/wg/audio/chairs,2011-03-25,2024-12-21
139357,Audiovisual Media Formats for Browsers Community Group,"Over the past decade, a growing number of sound and imaging media formats have been established offering increasingly sophisticated user experiences such as High Dynamic Range (HDR) and Spatial Audio. On the imaging side, these media formats provide the technical means to facilitate increased spatial and temporal resolutions, higher bit depths, as well as varying color volumes and the mapping between them. Similarly, on the audio side, higher bit-depth, sample rates and more immersive surround sound and speech processing options are available.
These experiences are facilitated through tools and technical mechanisms available to both professional and consumer content providers and are readily available for linear content types. However, options to provide such experiences through the web are still limited as potential solutions are fragmented and often insular or significantly limited in capabilities among open source as well as proprietary options. This typically results in incorrect presentation to an end user or even error messages. 
Therefore, there is need to consider how to support modern audiovisual formats in a W3C context. To alleviate friction in development and deployment, it seems highly beneficial to our community to synchronize open and proprietary solutions so that they can co-exist within a W3C framework. The scope of this community group is to provide a forum for those discussions.
",av4browsers,True,community group,https://api.w3.org/groups/cg/av4browsers,https://www.w3.org/community/av4browsers/,https://api.w3.org/groups/cg/av4browsers/users,https://api.w3.org/groups/cg/av4browsers/participations,https://api.w3.org/groups/cg/av4browsers/chairs,,
78250,Automotive Ontology Community Group,"The Automotive Ontology Working Group is an informal group of individuals and corporations who want to advance the use of shared conceptual structures in the form of Web ontologies for better data interoperability in the automotive industry, and this at Web scale. In particular, we want to develop
extension proposals for schema.org so that automotive information can be better understood by search engines and
OWL Web ontologies for the automotive industry.
Also, we want to provide a forum for bringing together researchers and practitioners who are working on advancing the field.",gao,True,community group,https://api.w3.org/groups/cg/gao,https://www.w3.org/community/gao/,https://api.w3.org/groups/cg/gao/users,https://api.w3.org/groups/cg/gao/participations,https://api.w3.org/groups/cg/gao/chairs,,
151951,Automotive Privacy Principles Community Group,"Vehicles are becoming increasingly connected, enabling rich data and useful services. A major obstacle to transportation's information transformation is better protection of personal privacy. The Mozilla Foundation properly called in out in their assessment <a rel=""nofollow"" href=""https://foundation.mozilla.org/en/privacynotincluded/articles/its-official-cars-are-the-worst-product-category-we-have-ever-reviewed-for-privacy/"">It’s Official: Cars Are the Worst Product Category We Have Ever Reviewed for Privacy</a>.

The goal of this Community Group is to create guiding principles specific to the automotive industry and to work in conjunction with <a rel=""nofollow"" href=""https://covesa.global"">COVESA</a> in prototyping and promoting appropriate solutions. ",autoprivacy,True,community group,https://api.w3.org/groups/cg/autoprivacy,https://www.w3.org/community/autoprivacy/,https://api.w3.org/groups/cg/autoprivacy/users,https://api.w3.org/groups/cg/autoprivacy/participations,https://api.w3.org/groups/cg/autoprivacy/chairs,,
143201,Autonomous Agents on the Web Community Group,"This community group is interested in the design of Web-based Multi-Agent Systems (MAS) for the deployment of world-wide hybrid communities of people and artificial agents on the Web. 

Our aim is to design a new class of Web-based MAS that are aligned with the Web Architecture to inherit the properties of the Web (world-wide, open, long-lived, etc.), and are also transparent and accountable to support acceptance by people.

We are especially interested in the use of Linked Data and Semantic Web standards for weaving a hypermedia fabric that enables uniform interaction among heterogeneous entities: people, artificial agents, devices, digital services, knowledge repositories, etc. We refer to this new class of Web-based MAS as Hypermedia MAS (hMAS).

This community group brings together experts actively contributing to advances in autonomous agents and MAS, the Web Architecture and the Web of Things, Semantic Web and Linked Data, and Web standards in general — as well as any other areas that could contribute to this approach for distributed intelligence on the Web.",webagents,True,community group,https://api.w3.org/groups/cg/webagents,https://www.w3.org/community/webagents/,https://api.w3.org/groups/cg/webagents/users,https://api.w3.org/groups/cg/webagents/participations,https://api.w3.org/groups/cg/webagents/chairs,,
62563,Best Practices for Multilingual Linked Open Data Community Group,"The target for this group is to crowd-source ideas from the community regarding best practises for producing multilingual linked open data. The topics for discussion are mainly focused on naming, labelling, interlinking, and quality of multilingual linked data, among others. Use cases will be identified to motivate discussions. Participation both from academia and industry is expected. The main outcome of the group will
be the documentation of patterns and best practices for the creation, linking, and use of multilingual linked data.

This group will not create specifications.",bpmlod,False,community group,https://api.w3.org/groups/cg/bpmlod,https://www.w3.org/community/bpmlod/,https://api.w3.org/groups/cg/bpmlod/users,https://api.w3.org/groups/cg/bpmlod/participations,https://api.w3.org/groups/cg/bpmlod/chairs,,
111423,Bibframe2Schema.org Community Group,"The objective of the community group is: to facilitate a consensually agreed route for the conversion and/or mapping of bibliographic data into Schema.org; building on the development, initiated by the Library of Congress, of the BIBFRAME 2.0 Linked Data vocabulary; utilising the specifications of BIBFRAME 2.0 as a stable base to develop upon. 

The initial objectives of the community are:
1. The creation of a reference metadata mapping from BIBFRAME 2.0 to Schema.org.
2. To facilitate agreed development and open sharing of reference software implementation(s) to:
Enrich BIBFRAME data with Schema.org Terms and/or
Create Schema.org terms from BIBFRAME 2.0 data.",bibframe2schema,True,community group,https://api.w3.org/groups/cg/bibframe2schema,https://www.w3.org/community/bibframe2schema/,https://api.w3.org/groups/cg/bibframe2schema/users,https://api.w3.org/groups/cg/bibframe2schema/participations,https://api.w3.org/groups/cg/bibframe2schema/chairs,,
97665,Bioschemas for lifesciences Community Group,"Bioschemas aims to improve data interoperability in life sciences. It does this by encouraging people in the life sciences to use schema.org markup, so that their websites and services contain consistently structured information. This structured information then makes it easier to discover, collate and analyse distributed data. The main outcome of the Bioschemas community group will be a collection of specifications that provide guidelines to facilitate a more consistent adoption of schema.org markup within the life sciences.  ",bioschemas,True,community group,https://api.w3.org/groups/cg/bioschemas,https://www.w3.org/community/bioschemas/,https://api.w3.org/groups/cg/bioschemas/users,https://api.w3.org/groups/cg/bioschemas/participations,https://api.w3.org/groups/cg/bioschemas/chairs,,
140563,Board of Directors,"<p>The W3C Board of Directors —first <a href=""/blog/news/archives/9685"">seated in September 2022</a>— is the governing body of the World Wide Web Consortium public-interest non-profit organization. The Directors have ultimate authority on W3C's strategic direction, have a legal obligation to ensure that W3C implements its mission to lead the Web to its full potential, and have fiduciary responsibility over W3C as a whole.</p>

<p>Directors are:</p>
<ul>
 <li>David Singer, Chair (<a title=""Member-elected Director"" href=""#member-elected"">M</a>)</li>
 <li>Robin Berjon (<a title=""Member-elected Director"" href=""#member-elected"">M</a>)</li>
 <li>Gonzalo Camarillo (<a title=""Board-elected Director"" href=""#board-elected"">B</a>)</li>
 <li>Dominique Hazaël-Massieux (<a title=""Partner-selected Director"" href=""#partner-selected"">P</a>)</li>
 <li>Chunming Hu (<a title=""Partner-selected Director"" href=""#partner-selected"">P</a>)</li>
 <li>Koichi Moriyama (<a title=""Member-elected Director"" href=""#member-elected"">M</a>)</li>
 <li>Jun Murai (<a title=""Partner-selected Director"" href=""#partner-selected"">P</a>)</li>
 <li>Mark Nottingham (<a title=""Member-elected Director"" href=""#member-elected"">M</a>)</li>
 <li>Eric Siow (<a title=""Member-elected Director"" href=""#member-elected"">M</a>)</li>
 <li>Léonie Watson (<a title=""Member-elected Director"" href=""#member-elected"">M</a>)</li>
 <li>Hongru (Judy) Zhu (<a title=""Member-elected Director"" href=""#member-elected"">M</a>)</li>
</ul>

<p>Non-voting Board meeting participants include:</p>
<ul>
  <li><a href=""/People/Berners-Lee/"">Tim Berners-Lee</a>, as the Founder Director</li>
  <li><a href=""/2002/ab/"">Advisory Board</a> liaisons, currently Tantek Çelik and Elika Etimad</li>
</ul>

<p>The W3C Inc bylaws define three classes of Directors:</p>
<ul>
  <li id=""member-elected""><strong>Member-elected (M)</strong>: All Member-elected Directors were <a href=""/blog/news/archives/9685"">elected by the W3C Membership in September 2022</a> to two-year terms.</li>
  <li id=""partner-selected""><strong>Partner-selected (P)</strong>: These Director were elected by their respective Hosts/Partners to one-year terms during the term of their electing Partner's Partnership.</li>
  <li id=""board-elected""><strong>Board-elected (B)</strong>: The Board may elect up to two additional Directors for two-year terms. Director Camarillo was elected in November 2022.</li>
</ul>

<h2 id=""officers"">Officers</h2>
<ul>
  <li>President: Seth Dobbs</li>
  <li>Secretary: Mark Nottingham</li>
  <li>Treasurer: Gonzalo Camarillo</li>
</ul>

<h2 id=""resources"">Board resources</h2>
<ul>
  <li><a href=""/Member/bod/"">Board home (<em>Member-only</em> info about contact, operations, meetings, etc.</a>)</li>
  <li><a href=""/2022/10/w3c-bylaws-20221019"">W3C, Inc. Bylaws</a> and <a href=""/2022/10/w3c-charter-20221019.pdf"">Certificate of Incorporation</a></li>
</ul>",board,,permanent group,https://api.w3.org/groups/other/board,https://www.w3.org/groups/other/board/,https://api.w3.org/groups/other/board/users,,https://api.w3.org/groups/other/board/chairs,,
49799,Browser Testing and Tools Working Group,"The mission of the Browser Testing and Tools Working Group is to produce technologies for use in testing, debugging, and troubleshooting of Web applications running in Web browsers.",browser-tools-testing,,working group,https://api.w3.org/groups/wg/browser-tools-testing,https://www.w3.org/testing/browser/,https://api.w3.org/groups/wg/browser-tools-testing/users,https://api.w3.org/groups/wg/browser-tools-testing/participations,https://api.w3.org/groups/wg/browser-tools-testing/chairs,2011-10-12,2024-06-29
120533,Building Device Naming Standards Community Group,"Being able to efficiently collect, analyse and leverage data insights from buildings is a catalyst for optimising building performance, improving the use of resources and moving towards predictive maintenance and buildings that can respond  to the climate emergency.

The lack of standardised naming and labelling for connected devices in the built environment means we are failing to leverage the value of data to allow interoperability, improve building efficiency and increase occupant productivity. 

A naming and labelling standard (complementing other industry initiatives) will simplify and drive consistency thus increasing value by unlocking the application of technologies such as machine learning.  

The work of this community group will align with and complement other initiatives in the industry such as BRICK, Haystack, Omniclass, Uniclass, IFC etc. 

In scope for this work are:
<ul>
<li>A simple specification for naming syntax</li>
<li>A register of building device names and labels</li>
</ul>
",bdns,True,community group,https://api.w3.org/groups/cg/bdns,https://www.w3.org/community/bdns/,https://api.w3.org/groups/cg/bdns/users,https://api.w3.org/groups/cg/bdns/participations,https://api.w3.org/groups/cg/bdns/chairs,,
32061,Cascading Style Sheets (CSS) Working Group,The mission of the group is to develop and maintain CSS.,css,,working group,https://api.w3.org/groups/wg/css,https://www.w3.org/Style/CSS/,https://api.w3.org/groups/wg/css/users,https://api.w3.org/groups/wg/css/participations,https://api.w3.org/groups/wg/css/chairs,1997-02-28,2025-01-12
114998,Chemistry for the Web and Publishing Community Group,"the ""Chemistry for the Web and Publishing"" Community  Group will focus on moving beyond simply providing images of Chemistry  content on the web and in published materials to a semantically rich  form that will work for everybody, including persons with disabilities.",chem-web-pub,True,community group,https://api.w3.org/groups/cg/chem-web-pub,https://www.w3.org/community/chem-web-pub/,https://api.w3.org/groups/cg/chem-web-pub/users,https://api.w3.org/groups/cg/chem-web-pub/participations,https://api.w3.org/groups/cg/chem-web-pub/chairs,,
147167,Chinese DID & VC Community Group,"The Chinese DID &amp; VC Community Group provides a forum to identify and discuss the technical, use cases and best practices of DID and VC technologies, with the goal to bring better user experience and collect requirements for future DID and VC related specifications.
",cndid,True,community group,https://api.w3.org/groups/cg/cndid,https://www.w3.org/community/cndid/,https://api.w3.org/groups/cg/cndid/users,https://api.w3.org/groups/cg/cndid/participations,https://api.w3.org/groups/cg/cndid/chairs,,
109611,Chinese Web Interest Group,The Chinese Web Interest Group provides a forum for W3C members to enhance the participation in Web standards work from the Chinese Web community.,chinese-web,,interest group,https://api.w3.org/groups/ig/chinese-web,https://www.w3.org/2018/chinese-web-ig/,https://api.w3.org/groups/ig/chinese-web/users,https://api.w3.org/groups/ig/chinese-web/participations,https://api.w3.org/groups/ig/chinese-web/chairs,2018-09-20,2024-12-30
143581,Civic Technology Community Group,"The Civic Technology Community Group will bring together those interested in civic technology, open government, and artificial intelligence to share information, to discuss these topics, to advance the state of the art, and to ensure that the Web is well-suited for these applications.",civics,True,community group,https://api.w3.org/groups/cg/civics,https://www.w3.org/community/civics/,https://api.w3.org/groups/cg/civics/users,https://api.w3.org/groups/cg/civics/participations,https://api.w3.org/groups/cg/civics/chairs,,
132913,Cognitive Accessibility Community Group,"<p>Mission</p>
<p>The mission of the COGA Community Group is to work with and support the <a rel=""nofollow"" href=""http://www.w3.org/WAI/GL/task-forces/coga/wiki/Main_Page"">Cognitive and Learning Disabilities Accessibility (COGA) Task Force</a>  to improve web accessibility for people with cognitive and learning disabilities.</p>
<p>This group supports the COGA Task Force by supplying user needs and feedback.</p>
<p>Scope<br />The COGA Community Group’s work will include:<br />- Sharing challenges when using the web and other digital displays<br />- Suggesting user needs<br />- Helping with research<br />- Suggesting ways to improve accessibility for the community<br />- Reviewing COGA’s drafts<br />- Outreach and collecting feedback from the community<br />- Helping with policy and the business cases for COGA guidance<br />- Having open meetings to discuss these points<br />Open meetings may be live video conferences or in other discussion formats</p>
<p>Participation</p>
<p>You do not need to be an expert in all topics related to cognitive accessibility to join the community group. The COGA Community Group will work in smaller groups for specific subjects, giving you the opportunity to participate on the topics you choose.</p>
<p>The COGA Community Group will also work together on some topics, brainstorming and building a community dedicated to improved access for all.</p>
<p>Anyone can join this group as long as they follow the<a rel=""nofollow"" href=""http://www.w3.org/community/about/""> community guidelines</a>.</p>
<p>However, the community group will specifically benefit from including:<br />- people with learning and cognitive disabilities,<br />people with mental health challenges,<br />- caregivers, therapists and people who work with people with learning, cognitive challenges and in mental health,<br />- researchers,<br />developers, quality assurance professionals, and user interface experts,<br />industry, looking to share and support ideas, and<br />policy makers.</p>
<p>Additional details of participation<br />- Joining the COGA Community Group does not involve joining the COGA Task Force.<br />- If you would prefer to join this group anonymously, please send an email to ran@w3.org.<br />- The community group will not publish specifications, but may make suggestions to the COGA taskforce.<br />- For more information about community groups, please visit <a rel=""nofollow"" href=""http://www.w3.org/community/about/faq/"">Community and Business Groups Frequently Asked Questions</a>.<br />- Short link to this document: bit.ly/coga-community</p>",coga-community,False,community group,https://api.w3.org/groups/cg/coga-community,https://www.w3.org/community/coga-community/,https://api.w3.org/groups/cg/coga-community/users,https://api.w3.org/groups/cg/coga-community/participations,https://api.w3.org/groups/cg/coga-community/chairs,,
